Title,Year,Rating,Imdb,Time,Location
 Lola versus,2012,,5.5,1:27,Box
10 orsaker att hata dig,1999,7,7.4,1:37,
12 fördömda män,1967,,7.7,2:30,Spider
"13,",2010,5,6.1,1:31,Coffin
"1408,",2007,5,6.8,1:44,Coffin
15 Minutes,2001,6,6.1,2:00,Drawer H
16 Blocks,2006,7,6.6,1:42,Drawer H
2 Days in New York,2012,10,6,1:36,Drawer
2 Days in Paris,2007,9,6.7,1:36,Drawer
2 days in the valley,1996,5,6.5,1:44,Coffin
2 Guns,2013,,6.7,1:49,Box
21 Grams,2003,10,7.6,2:04,Shelf
"21,",2008,7,6.8,2:03,Coffin 
22 Bullets,2010,,6.7,1:57,Coffin
25th hour,2002,7,7.6,2:15,Spider
28 days later,2002,8,7.5,1:53,Drawer H
"300,",2006,6,7.6,1:57,Box
4.3.2.1.,2010,,5.8,1:57,Box
40 days and 40 nights,2002,5,5.6,1:36,
40 year old virgin,2005,7,7.1,1:56,Spider
40 Year-old virgin,2005,7,7.1,1:56,
45 R.P.M,2008,5,6.1,1:31,Coffin
50 shades of Grey,2015,5,4.2,2:05,Drawer
50/50,2011,7,7.6,1:40,drawer H
8 Mile,2002,7,7.2,1:50,Drawer
A dark truth,2012,7,5.6,1:46,Drawer H
A fork in the road,2010,,5.9,1:45,Box
A glimpse inside the mind of Charlie Swan III,2012,,4.6,1:26,Box
A good woman,2004,,6.4,1:33,Box
A guide to recognizing your saints,2006,5,6.9,1:40,
A History of Violence,2005,8,7.4,1:36,
A Knights Tale,2001,6,6.9,2:12,
A long way down ,2014,6,6.3,1:36,Drawer H
A lot like love,2005,6,6.6,1:47,
A love song for Bobby Long,2004,10,7.1,1:59,Shelf
A night at the Roxbury,1998,5,6.2,1:22,
A praire home companion,2006,5,6.7,1:45,Coffin
A Prophet,2009,,7.8,2:35,Box
A singel man,2009,,7.5,1:39,Box
A threevening with Kevin Smith,2008,10,7.9,2:02,Coffin
About Schmidt,2002,,7.2,2:05,Box
Accidental Love,2015,,4.1,1:40,Box
Ace Ventura,1994,7,6.9,1:26,Spider
Across the line,2015,,5.4,1:27,Box
AE Fond Kiss,2004,6,7.1,1:44,Drawer
Affair,2010,,4.3,1:15,Box
After the sunset,2004,6,6.2,1:37,
Against the current,2009,6,6.1,1:38,Drawer
Against the ropes,2004,6,5.3,1:51,
Alexander,2004,,5.6,2:55,Spider
Alfie,2004,7,6.2,1:43,Coffin
Ali,2001,,6.7,2:37,
Alien 1,1979,8,8.4,1:57,Spider
Alien 2,1986,8,8.3,2:17,Spider
Alien 3,1992,6,6.4,1:54,Spider
Alien 4,1997,,6.2,1:49,Spider
Alla kungens män,2006,,6.1,2:18,
Allt för henne,2008,,7.1,1:36,Box
Allt har ett pris (Silent Cry),2002,,4.9,1:25,
Almost Famous,2000,8,7.9,2:02,
Almost Friends,2013,7,5.6,1:47,Drawer
Amelie från Montmartre,2001,9,8.3,2:02,Shelf
American Beauty,1999,8,8.3,2:02,
American Gangster,2007,7,7.8,2:37,
American Heist,2014,7,5,1:34,Drawer H
American Hustle,2013,7,7.3,2:18,Shelf
American Made,2017,7,7.1,1:55,
American Pastoral,2016,7,6.1,1:48,Coffin
American Pie: Reunion,2012,6,6.7,1:53,Drawer H
American Violet,2008,,7,1:43,Coffin
An American Crime,2007,,7.2,1:38,Box
An Early Frost,1985,,8,1:35,Drawer
An Education,2009,7,7.3,1:40,Drawer
An evening with Kevin Smith,2002,10,8.3,3:44,Coffin
An evening with Kevin Smith 2,2006,10,7.8,3:59,Coffin
An officer and a gentleman,1982,,7.1,2:04,Box
Anchorman,2004,6,7.1,1:34,
Anchorman 2,2013,6,6.3,1:59,Drawer H
Anger Management ,2003,6,6.2,1:46,Drawer
Animal Factory,2000,7,6.6,1:34,
Animal Kingdom,2010,8,7.2,1:53,Drawer H
Another Happy Day,2011,8,6,1:59,Drawer H
